country,continent,capture,aquaculture,total
Angola,Africa,486490,655,487145
Argentina,Americas,755226,3673,758899
Australia,Oceania,174629,96847,271476
Bangladesh,Asia,1674770,2203554,3878324
Brazil,Americas,705000,581230,1286230
Cambodia,Asia,629950,172500,802450
Cameroon,Africa,233190,2315,235505
Canada,Americas,874727,200765,1075492
Chad,Africa,110000,94,110094
Chile,Americas,1829238,1050117,2879355
China,Asia,17800000,63700000,81500000
Colombia,Americas,86344,96970,183314
Democratic Republic of the Congo,Africa,237372,3161,240533
Denmark,Europe,670344,36337,706681
Ecuador,Americas,715495,451090,1166585
Egypt,Africa,335614,1370660,1706274
Faroe Islands,Europe,568435,83300,651735
Finland,Europe,192065,14412,206477
France,Europe,561173,166640,727813
Germany,Europe,271185,41721,312906
Ghana,Africa,327457,52480,379937
Greece,Europe,76362,123410,199772
Greenland,Americas,273175,0,273175
Guinea,Africa,128000,250,128250
Hong Kong,Asia,142775,4258,147033
Iceland,Europe,1085176,15129,1100305
India,Asia,5082332,5703002,10785334
Indonesia,Asia,6584419,16600000,23184419
Iran,Asia,695407,398129,1093536
Ireland,Europe,259845,40244,300089
Italy,Europe,198130,157109,355239
Japan,Asia,3275263,1067994,4343257
Kenya,Africa,171391,15360,186751
Kiribati,Oceania,172822,3652,176474
Laos,Asia,70915,109835,180750
Latvia,Europe,114806,788,115594
Lithuania,Europe,106945,4393,111338
Madagascar,Africa,142333,25998,168331
Malawi,Africa,152852,7646,160498
Malaysia,Asia,1584371,407887,1992258
Maldives,Asia,129191,0,129191
Mali,Africa,102486,4194,106680
Mauritania,Africa,609754,0,609754
Mexico,Americas,1524467,221328,1745795
Morocco,Africa,1454105,1142,1455247
Mozambique,Africa,299591,1180,300771
Myanmar,Asia,2072390,1017644,3090034
Namibia,Africa,503878,591,504469
Netherlands,Europe,370274,62940,433214
New Zealand,Oceania,424791,109016,533807
Nigeria,Africa,734731,306727,1041458
North Korea,Asia,209000,554100,763100
Norway,Europe,2203360,1326216,3529576
Oman,Asia,279606,103,279709
Pakistan,Asia,513156,156430,669586
Panama,Americas,144450,8808,153258
Papua New Guinea,Oceania,309245,6200,315445
Peru,Americas,3811802,100187,3911989
Philippines,Asia,2027992,2200914,4228906
Poland,Europe,218115,38300,256415
Portugal,Europe,186950,9787,196737
Russia,Europe,4773413,173840,4947253
Saudi Arabia,Asia,68082,39920,108002
Senegal,Africa,474162,2079,476241
Seychelles,Africa,127128,0,127128
Sierra Leone,Africa,202100,75,202175
South Africa,Africa,622070,7994,630064
South Korea,Asia,1395951,1859220,3255171
Spain,Europe,915137,283831,1198968
Sri Lanka,Asia,521637,30974,552611
Sweden,Europe,208783,15747,224530
Tanzania,Africa,370966,12547,383513
Thailand,Asia,1530583,962571,2493154
Tunisia,Africa,115064,16165,131229
Turkey,Asia,335326,250331,585657
Uganda,Africa,389244,118051,507295
United Kingdom,Europe,702405,194492,896897
United States,Americas,4931017,444369,5375386
Venezuela,Americas,284175,25998,310173
Vietnam,Asia,2785940,3634531,6420471
Yemen,Asia,154450,0,154450
Zambia,Africa,83918,30285,114203
